keyword,keyword_group,search_intent,target_canonical_url,primary_or_secondary,reason_for_mapping,overlap_risk,recommended_action
fabric for sheers technical,application,Commercial,/fabrics/technical-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts birdseye,application,Commercial,/fabrics/birdseye-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts brushed,application,Commercial,/fabrics/brushed-flannel/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts classic,application,Commercial,/fabrics/classic-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts cotton-rich,application,Commercial,/fabrics/cotton-rich-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts crepe,application,Commercial,/fabrics/crepe-de-chine/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts double,application,Commercial,/fabrics/double-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts egyptian,application,Commercial,/fabrics/egyptian-cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts fine,application,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts fine-wale,application,Commercial,/fabrics/fine-wale-corduroy/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts heavy,application,Commercial,/fabrics/heavy-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts honeycomb,application,Commercial,/fabrics/honeycomb-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts mercerised,application,Commercial,/fabrics/mercerised-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts mercerized,application,Commercial,/fabrics/mercerized-cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts organic,application,Commercial,/fabrics/organic-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts oxford,application,Commercial,/fabrics/oxford-chambray-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts pima,application,Commercial,/fabrics/pima-cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts pinpoint,application,Commercial,/fabrics/pinpoint-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts printed,application,Commercial,/fabrics/printed-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts royal,application,Commercial,/fabrics/royal-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts silk,application,Commercial,/fabrics/silk-broadcloth/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts slub,application,Commercial,/fabrics/slub-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts soft,application,Commercial,/fabrics/soft-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts stretch,performance,Commercial,/fabrics/stretch-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for shirts tencel,application,Commercial,/fabrics/tencel-plain-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for slip dresses crepe,application,Commercial,/fabrics/crepe-de-chine/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for slip dresses silk,application,Commercial,/fabrics/silk-charmeuse/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for soft tailoring compact,application,Commercial,/fabrics/ponte-compact/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for soft tailoring linen-lyocell,application,Commercial,/fabrics/linen-lyocell/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for soft tailoring linen-viscose,application,Commercial,/fabrics/linen-viscose/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for soft tailoring rayon,application,Commercial,/fabrics/ponte-rayon-nylon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for soft tailoring wool,application,Commercial,/fabrics/wool-linen-tailoring-open-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for statement knits alpaca,application,Commercial,/fabrics/alpaca-blend/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for statement knits mohair,application,Commercial,/fabrics/mohair-blend/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for suiting brushed,application,Commercial,/fabrics/brushed-flannel/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for suiting merino,application,Commercial,/fabrics/merino-roica-stretch-tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for suiting super,application,Commercial,/fabrics/tropical-wool-super-110s-130s/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for suiting wool,application,Commercial,/fabrics/wool-linen-tailoring-open-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for suiting wool-silk,application,Commercial,/fabrics/wool-silk-bi-stretch/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for swimwear crossover,application,Commercial,/fabrics/crossover-swimwear-fabric/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers brushed,application,Commercial,/fabrics/brushed-flannel/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers classic,application,Commercial,/fabrics/ponte-double-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers compact,application,Commercial,/fabrics/ponte-compact/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers cotton,application,Commercial,/fabrics/ponte-cotton-rayon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers egyptian,application,Commercial,/fabrics/egyptian-cotton-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers fine-wale,application,Commercial,/fabrics/fine-wale-corduroy/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers heavy,application,Commercial,/fabrics/tencel-heavy-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers jumbo,application,Commercial,/fabrics/jumbo-corduroy/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers linen-lyocell,application,Commercial,/fabrics/linen-lyocell/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers linen-viscose,application,Commercial,/fabrics/linen-viscose/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers matte,application,Commercial,/fabrics/ponte-matte/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers mercerized,application,Commercial,/fabrics/mercerized-cotton-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers rayon,application,Commercial,/fabrics/ponte-rayon-nylon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers structured,application,Commercial,/fabrics/ponte-structured/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers tencel,application,Commercial,/fabrics/tencel-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers travel,application,Commercial,/fabrics/ponte-travel/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for trousers wool,application,Commercial,/fabrics/wool-cotton-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for unlined coats double-face,application,Commercial,/fabrics/double-face-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for unstructured jackets wool,application,Commercial,/fabrics/wool-linen-tailoring-open-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for unstructured jackets wool-linen,application,Commercial,/fabrics/wool-linen-open-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for unstructured jackets wool-mohair,application,Commercial,/fabrics/wool-mohair-open-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for upholstery heavy,application,Commercial,/fabrics/heavy-linen-upholstery/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for upholstery performance,application,Commercial,/fabrics/performance-upholstery-weave/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for upholstery upholstery,application,Commercial,/fabrics/upholstery-boucle/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for upholstery wool,application,Commercial,/fabrics/wool-felt-upholstery/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for volume sleeves silk,application,Commercial,/fabrics/silk-organza/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets birdseye,application,Commercial,/fabrics/birdseye-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets classic,application,Commercial,/fabrics/classic-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets cotton,application,Commercial,/fabrics/cotton-moleskin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets cotton-rich,application,Commercial,/fabrics/cotton-rich-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets egyptian,application,Commercial,/fabrics/egyptian-cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets heavy,application,Commercial,/fabrics/heavy-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets honeycomb,application,Commercial,/fabrics/honeycomb-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets matte,application,Commercial,/fabrics/ponte-matte/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets mercerized,application,Commercial,/fabrics/mercerized-cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets organic,application,Commercial,/fabrics/organic-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets oxford,application,Commercial,/fabrics/oxford-chambray-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets pima,application,Commercial,/fabrics/pima-cotton-broadcloth/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets pinpoint,application,Commercial,/fabrics/pinpoint-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets royal,application,Commercial,/fabrics/royal-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets soft,application,Commercial,/fabrics/soft-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets stretch,performance,Commercial,/fabrics/stretch-oxford-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets structured,application,Commercial,/fabrics/ponte-structured/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear jackets wool,application,Commercial,/fabrics/wool-cotton-twill/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for workwear trousers cotton,application,Commercial,/fabrics/cotton-moleskin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
felt wool felt upholstery,application,Commercial,/fabrics/wool-felt-upholstery/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine close plain weave egyptian cotton broadcloth,fabric_type,Commercial,/fabrics/egyptian-cotton-broadcloth/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine close plain weave mercerized cotton broadcloth,fabric_type,Commercial,/fabrics/mercerized-cotton-broadcloth/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine close plain weave pima cotton broadcloth,fabric_type,Commercial,/fabrics/pima-cotton-broadcloth/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué fabric,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué fabric online,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué for baselayers,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué for knitwear,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué for shirts,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine cotton piqué textile,fabric_type,Commercial,/fabrics/fine-cotton-pique/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine high-count plain weave cotton lawn,fabric_type,Commercial,/fabrics/cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine high-count plain weave mercerized cotton lawn,fabric_type,Commercial,/fabrics/mercerized-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine high-count plain weave organic cotton lawn,fabric_type,Commercial,/fabrics/organic-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine high-count plain weave printed cotton lawn,fabric_type,Commercial,/fabrics/printed-cotton-lawn/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry fabric,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry fabric online,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry for baselayers,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry for knitwear,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fine loopback french terry for loungewear,fabric_type,Commercial,/fabrics/french-terry-loopback/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
