Keyword,Country,Volume,Difficulty,Current Rank,Intent,Cluster,Target URL,Content Type,Priority,Status
fabric for trousers tencel,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-twill/,product,P3,mapped_noindex_holdback
fabric for trousers travel,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ponte-travel/,product,P3,mapped_noindex_holdback
fabric for trousers wool,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-cotton-twill/,product,P3,mapped_noindex_holdback
fabric for unlined coats double-face,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/double-face-wool/,product,P3,mapped_noindex_holdback
fabric for unstructured jackets wool,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-linen-tailoring-open-weave/,product,P3,mapped_noindex_holdback
fabric for unstructured jackets wool-linen,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-linen-open-weave/,product,P3,mapped_noindex_holdback
fabric for unstructured jackets wool-mohair,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-mohair-open-weave/,product,P3,mapped_noindex_holdback
fabric for upholstery heavy,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
fabric for upholstery performance,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/performance-upholstery-weave/,product,P3,mapped_noindex_holdback
fabric for upholstery upholstery,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/upholstery-boucle/,product,P3,mapped_noindex_holdback
fabric for upholstery wool,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-felt-upholstery/,product,P3,mapped_noindex_holdback
fabric for volume sleeves silk,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/silk-organza/,product,P3,mapped_noindex_holdback
fabric for workwear jackets birdseye,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/birdseye-cotton-pique/,product,P3,mapped_noindex_holdback
fabric for workwear jackets classic,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/classic-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/cotton-moleskin/,product,P3,mapped_noindex_holdback
fabric for workwear jackets cotton-rich,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/cotton-rich-pique/,product,P3,mapped_noindex_holdback
fabric for workwear jackets egyptian,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/egyptian-cotton-poplin/,product,P3,mapped_noindex_holdback
fabric for workwear jackets heavy,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets honeycomb,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
fabric for workwear jackets matte,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ponte-matte/,product,P3,mapped_noindex_holdback
fabric for workwear jackets mercerized,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerized-cotton-poplin/,product,P3,mapped_noindex_holdback
fabric for workwear jackets organic,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/organic-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets oxford,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/oxford-chambray-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets pima,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-broadcloth/,product,P3,mapped_noindex_holdback
fabric for workwear jackets pinpoint,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pinpoint-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets royal,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/royal-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets soft,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/soft-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets stretch,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/stretch-oxford-cotton/,product,P3,mapped_noindex_holdback
fabric for workwear jackets structured,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ponte-structured/,product,P3,mapped_noindex_holdback
fabric for workwear jackets wool,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-cotton-twill/,product,P3,mapped_noindex_holdback
fabric for workwear trousers cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/cotton-moleskin/,product,P3,mapped_noindex_holdback
felt wool felt upholstery,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-felt-upholstery/,product,P3,mapped_noindex_holdback
fine close plain weave egyptian cotton broadcloth,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/egyptian-cotton-broadcloth/,product,P3,mapped_noindex_holdback
fine close plain weave mercerized cotton broadcloth,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerized-cotton-broadcloth/,product,P3,mapped_noindex_holdback
fine close plain weave pima cotton broadcloth,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-broadcloth/,product,P3,mapped_noindex_holdback
fine cotton piqué,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué for baselayers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué for knitwear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué for shirts,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine cotton piqué textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine high-count plain weave cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/cotton-lawn/,product,P3,mapped_noindex_holdback
fine high-count plain weave mercerized cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerized-cotton-lawn/,product,P3,mapped_noindex_holdback
fine high-count plain weave organic cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/organic-cotton-lawn/,product,P3,mapped_noindex_holdback
fine high-count plain weave printed cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/printed-cotton-lawn/,product,P3,mapped_noindex_holdback
fine loopback french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry for baselayers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry for knitwear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry for loungewear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine loopback french terry textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine open plain weave egyptian cotton voile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/egyptian-cotton-voile/,product,P3,mapped_noindex_holdback
fine open plain weave mercerized cotton voile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerized-cotton-voile/,product,P3,mapped_noindex_holdback
fine open plain weave pima cotton voile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-voile/,product,P3,mapped_noindex_holdback
fine open plain weave voile lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/voile-lawn/,product,P3,mapped_noindex_holdback
fine oxford basketweave pinpoint oxford cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pinpoint-oxford-cotton/,product,P3,mapped_noindex_holdback
fine plain weave batiste lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/batiste-lawn/,product,P3,mapped_noindex_holdback
fine plain weave egyptian cotton poplin,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/egyptian-cotton-poplin/,product,P3,mapped_noindex_holdback
fine plain weave embroidered cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/embroidered-cotton-lawn/,product,P3,mapped_noindex_holdback
fine plain weave mercerised cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerised-cotton-lawn/,product,P3,mapped_noindex_holdback
fine plain weave mercerized cotton poplin,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/mercerized-cotton-poplin/,product,P3,mapped_noindex_holdback
fine plain weave pima cotton poplin,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-poplin/,product,P3,mapped_noindex_holdback
fine plain weave slub cotton lawn,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/slub-cotton-lawn/,product,P3,mapped_noindex_holdback
fine plain weave tencel shirting,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-shirting/,product,P3,mapped_noindex_holdback
fine plain weave wool silk suiting blend,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-silk-suiting/,product,P3,mapped_noindex_holdback
fine ribbed weave silk faille,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/silk-faille/,product,P3,mapped_noindex_holdback
fine-gauge french terry fine loopback french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-loopback/,product,P3,mapped_noindex_holdback
fine-gauge piqué knit fine cotton piqué,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-cotton-pique/,product,P3,mapped_noindex_holdback
fine-gauge semi-sheer knit,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-gauge-semi-sheer-knit/,product,P3,mapped_noindex_holdback
fine-gauge semi-sheer knit fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-gauge-semi-sheer-knit/,product,P3,mapped_noindex_holdback
fine-gauge semi-sheer knit fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-gauge-semi-sheer-knit/,product,P3,mapped_noindex_holdback
fine-gauge semi-sheer knit for layering pieces,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-gauge-semi-sheer-knit/,product,P3,mapped_noindex_holdback
fine-gauge semi-sheer knit textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-gauge-semi-sheer-knit/,product,P3,mapped_noindex_holdback
fine-wale corduroy,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy fine-wale corduroy,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy for shirts,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy for trousers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fine-wale corduroy textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/fine-wale-corduroy/,product,P3,mapped_noindex_holdback
fleece knit pima cotton fleece,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-fleece/,product,P3,mapped_noindex_holdback
french terry knit classic french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-classic/,product,P3,mapped_noindex_holdback
french terry knit cotton modal french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-modal/,product,P3,mapped_noindex_holdback
french terry knit lightweight french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-lightweight/,product,P3,mapped_noindex_holdback
french terry knit organic cotton french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-organic/,product,P3,mapped_noindex_holdback
french terry knit peached french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-peached/,product,P3,mapped_noindex_holdback
french terry knit recycled cotton french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-recycled-cotton/,product,P3,mapped_noindex_holdback
french terry knit stretch french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-stretch/,product,P3,mapped_noindex_holdback
fulled melton wool cashmere melton blend,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/wool-cashmere-melton/,product,P3,mapped_noindex_holdback
gabardine membrane-backed gabardine,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/membrane-backed-gabardine/,product,P3,mapped_noindex_holdback
heavy french terry knit heavyweight french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavy linen upholstery,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
heavy linen upholstery fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
heavy linen upholstery fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
heavy linen upholstery for upholstery,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
heavy linen upholstery textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-linen-upholstery/,product,P3,mapped_noindex_holdback
heavy oxford basketweave heavy oxford cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton for chore jackets,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton for shirts,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton for workwear jackets,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy oxford cotton textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/heavy-oxford-cotton/,product,P3,mapped_noindex_holdback
heavy ponte double knit structured ponte,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ponte-structured/,product,P3,mapped_noindex_holdback
heavy tencel twill,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill for dresses,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill for jackets,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill for trousers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavy tencel twill textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/tencel-heavy-twill/,product,P3,mapped_noindex_holdback
heavyweight french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry for knitwear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry for layering pieces,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry for loungewear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
heavyweight french terry textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-heavyweight/,product,P3,mapped_noindex_holdback
hemp-cotton denim,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/hemp-cotton-denim/,product,P3,mapped_noindex_holdback
hemp-cotton denim fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/hemp-cotton-denim/,product,P3,mapped_noindex_holdback
hemp-cotton denim fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/hemp-cotton-denim/,product,P3,mapped_noindex_holdback
hemp-cotton denim textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/hemp-cotton-denim/,product,P3,mapped_noindex_holdback
herringbone herringbone tweed,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/herringbone-tweed/,product,P3,mapped_noindex_holdback
herringbone tweed,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/herringbone-tweed/,product,P3,mapped_noindex_holdback
herringbone tweed fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/herringbone-tweed/,product,P3,mapped_noindex_holdback
herringbone tweed fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/herringbone-tweed/,product,P3,mapped_noindex_holdback
herringbone tweed textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/herringbone-tweed/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué for activewear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué for shirts,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué for workwear jackets,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb cotton piqué textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
honeycomb piqué knit honeycomb cotton piqué,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/honeycomb-cotton-pique/,product,P3,mapped_noindex_holdback
inherently fr polyester,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/inherently-fr-polyester/,product,P3,mapped_noindex_holdback
inherently fr polyester fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/inherently-fr-polyester/,product,P3,mapped_noindex_holdback
inherently fr polyester fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/inherently-fr-polyester/,product,P3,mapped_noindex_holdback
inherently fr polyester for contract textiles,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/inherently-fr-polyester/,product,P3,mapped_noindex_holdback
inherently fr polyester textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/inherently-fr-polyester/,product,P3,mapped_noindex_holdback
insulating fill down-alternative fill,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/down-alternative-fill/,product,P3,mapped_noindex_holdback
interlock knit pima cotton interlock,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/pima-cotton-interlock/,product,P3,mapped_noindex_holdback
jacquard deconstructed jacquard,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/deconstructed-jacquard/,product,P3,mapped_noindex_holdback
jumbo cord jumbo corduroy,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jumbo corduroy fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jumbo corduroy fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jumbo corduroy for outerwear,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jumbo corduroy for trousers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jumbo corduroy textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jumbo-corduroy/,product,P3,mapped_noindex_holdback
jute jute rug,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
jute rug,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
jute rug fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
jute rug fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
jute rug for rugs,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
jute rug textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/jute-rug/,product,P3,mapped_noindex_holdback
khadi-effect cotton,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/khadi-effect-cotton/,product,P3,mapped_noindex_holdback
khadi-effect cotton fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/khadi-effect-cotton/,product,P3,mapped_noindex_holdback
khadi-effect cotton fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/khadi-effect-cotton/,product,P3,mapped_noindex_holdback
khadi-effect cotton textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/khadi-effect-cotton/,product,P3,mapped_noindex_holdback
knit ultra-light semi-sheer lounge knit,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ultra-light-semi-sheer-lounge-knit/,product,P3,mapped_noindex_holdback
laser- and ozone-finished denim,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/laser-and-ozone-finished-denim/,product,P3,mapped_noindex_holdback
laser- and ozone-finished denim fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/laser-and-ozone-finished-denim/,product,P3,mapped_noindex_holdback
laser- and ozone-finished denim fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/laser-and-ozone-finished-denim/,product,P3,mapped_noindex_holdback
laser- and ozone-finished denim textile,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/laser-and-ozone-finished-denim/,product,P3,mapped_noindex_holdback
leather real leather,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/real-leather/,product,P3,mapped_noindex_holdback
light ponte double knit lightweight ponte,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/ponte-lightweight/,product,P3,mapped_noindex_holdback
lightweight french terry,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-lightweight/,product,P3,mapped_noindex_holdback
lightweight french terry fabric,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-lightweight/,product,P3,mapped_noindex_holdback
lightweight french terry fabric online,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-lightweight/,product,P3,mapped_noindex_holdback
lightweight french terry for baselayers,GLOBAL,TBD,TBD,TBD,Commercial,Named Fabrics,/fabrics/french-terry-lightweight/,product,P3,mapped_noindex_holdback
